,title,author,publisher,category,language,score,ebookPrice,audiobookPrice,paperPrice,popularity
481,Tajemnica torpedy / Ciekawe Miejsca,Sven Elvestad,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"34,20",
482,Jesienna zbrodnia,de la Motte Anders,Czarna Owca,Kryminał,polski,"0,0",,,"39,99",
483,Ostatnie instrukcje,Nir Hezroni,Media Rodzina,"Sensacja, thriller, horror",Agent 10483,"4,4","32,00","32,00","39,90",
484,Mauzoleum,Arnold Thomas,Wydawnictwo Vectra,"Sensacja, thriller, horror",polski,"4,2","28,00",,"39,00",
485,Trzy ziarnka żwiru,Kostecki Tadeusz,LTW,Kryminał,polski,"0,0",,,"25,00",
486,"W Kręgach Władzy: Wotum nieufności, Większość bezwzględna, Władza absolutna",Remigiusz Mróz,Filia,Kryminał,polski,"0,0",,,"99,90",
487,Rewolwer,Duane Swierczynski,Wydawnictwo RM Sp. z o.o.,Kryminał,polski,"2,7","34,99",,"34,99",
488,Święta trójca,Przemysław Sendziuk,Novae Res,Kryminał,polski,"3,8","31,00",,"36,99",
489,Maigret i wyższe sfery,Simenon Georges,C&T,Kryminał,polski,"0,0",,,"19,00",
490,Martwe dusze,Daria Orlicz,HarperCollins,Kryminał,Stracone dusze,"3,9","29,99",,"38,99",
491,Zabójczy pocisk Polska krew,Jakub Żulczyk,Skarpa Warszawska,Kryminał,polski,"0,0",,,"36,90",
